symbol,name,ticktime,price,volume,prev_price,kind,settlement,ratio_avg_volume_20,
sz002176,江特电机,10:27:54,13.530,1029300,13.520,U,12.950,205,
sh600050,中国联通,10:27:51,7.870,502400,7.880,D,7.970,16,
sh601288,农业银行,10:27:51,3.720,1000000,3.720,U,3.710,39,
sh600022,山东钢铁,10:27:51,2.280,1011000,2.280,D,2.290,88,
sz002239,奥特佳,10:27:42,4.150,565480,4.140,U,4.070,301,
sz002024,苏宁云商,10:27:42,14.520,650200,14.550,D,14.720,78,
sz300006,莱美药业,10:27:30,6.280,782000,6.280,D,6.290,851,
sz000725,京东方Ａ,10:27:30,6.680,932500,6.670,U,6.530,6,
sz000725,京东方Ａ,10:27:27,6.670,574000,6.680,D,6.530,4,
sh601939,建设银行,10:27:27,7.030,700800,7.030,U,7.000,92,
sh601939,建设银行,10:27:24,7.030,586900,7.030,U,7.000,77,
sh600050,中国联通,10:27:24,7.860,674300,7.870,D,7.970,21,
sz002340,格林美,10:27:15,7.880,614800,7.880,U,7.590,49,
sz002426,胜利精密,10:27:12,5.880,590200,5.890,D,5.950,160,
sh601225,陕西煤业,10:27:12,8.160,663500,8.100,U,7.990,129,
sh601288,农业银行,10:27:12,3.720,2220000,3.720,U,3.710,86,
sh601288,农业银行,10:27:06,3.720,1000000,3.710,U,3.710,39,
sh601288,农业银行,10:27:00,3.720,1010200,3.720,U,3.710,39,
sh601992,金隅股份,10:26:54,5.940,504600,5.930,U,5.910,106,
sh600050,中国联通,10:26:48,7.870,548600,7.870,D,7.970,17,
sz300088,长信科技,10:26:48,9.800,733600,9.820,D,9.270,76,
sz002407,多氟多,10:26:42,23.620,592000,23.620,D,21.470,375,
sz000725,京东方Ａ,10:26:36,6.670,650616,6.670,U,6.530,4,
sh601288,农业银行,10:26:36,3.720,678900,3.720,U,3.710,26,
